front,back,left,right,top,roll,pitch,yaw
65.89,292.1,136.58,114.68,237.455,-0.00635,0.0058,-1.6517
62.37333333,269.7966667,120.1266667,105.98,210.8,-0.0066,0.005333333,-1.651233333
63.8,317.9133333,86.11333333,110.3466667,189.7933333,-0.0068,0.005533333,-1.6506
60.38,229.09,96.38,116.6333333,145.2533333,-0.006966667,0.005366667,-1.649733333
62.49333333,239.9533333,92.99333333,139.4866667,136.8933333,-0.007066667,0.0057,-1.6487
59.52333333,223.4033333,84.38,157.5233333,136.33,-0.0074,0.005666667,-1.647466667
59.47,274.32,86,126.1233333,176.15,-0.007433333,0.005433333,-1.6455
59.71,287.7566667,86.06333333,96.59333333,192.4266667,-0.006966667,0.005433333,-1.644066667
57.83,268.7266667,97.97333333,70.34,190.01,0.000433333,0.008666667,-1.641666667
59.29,209.88,90.91,86.82666667,182.0233333,0.001866667,0.007566667,-1.641633333
60.97666667,142.2,97.2,112.4733333,196.7933333,0.008566667,0.0039,-1.636666667
59.32666667,161.2233333,77.77333333,125.9,225.7,0.0041,-0.001866667,-1.646033333
57.62,245.23,91.22666667,119.4066667,209.3533333,0.005166667,-0.0026,-1.654
55.99,247.5566667,106.8033333,105.1833333,216.9833333,0.0007,-0.0011,-1.667
59.63333333,179.5333333,183.1233333,105.88,197.12,0.000666667,-0.001133333,-1.667
64.20666667,128.7433333,188.3966667,132.4033333,223.4433333,0.000633333,-0.001166667,-1.667033333
61.19,158.14,268.5866667,127.62,225.36,0.000566667,-0.001233333,-1.667133333
63.49,193.62,210.0366667,134.0466667,227.8433333,0.0006,-0.001333333,-1.667366667
61.20666667,173.7766667,260.5266667,137.8333333,233.35,0.0004,-0.001266667,-1.667266667
59.50333333,199.0233333,165.15,162.0533333,240.2933333,0.0003,-0.001233333,-1.666666667
56.22333333,232.14,225.2166667,133.78,245.2966667,0.000133333,-0.001266667,-1.6659
53.86,243.6233333,158.8333333,115.7933333,217.2833333,-0.002766667,-6.67E-05,-1.643566667
56.07333333,202.13,161.9433333,81.14666667,173.3033333,-0.006133333,0.001133333,-1.619266667
55.11,137.7566667,197.2533333,99.36666667,152.8466667,-0.0096,0.003166667,-1.595
55.2,131.1266667,201.39,79.65333333,171.7966667,-0.009866667,0.003533333,-1.590766667
58.19666667,131.7,211.7133333,89.66333333,177.6033333,-0.009933333,0.003533333,-1.5886
58.23666667,207.5566667,99.44,88.15333333,213.46,-0.0099,0.0025,-1.5864
57.3,183.59,100.01,94.34,206.07,-0.010133333,0.0023,-1.5859
54.30666667,217.74,98.54333333,83.95666667,203.9066667,-0.0102,0.0024,-1.585733333
56.09,124.8933333,99.2,72.56666667,166.0333333,-0.009166667,0.0057,-1.573966667
55.86333333,195.4133333,98.89333333,67.71,131.31,0.0045,0.013666667,-1.5593
53.71,221.8033333,106.94,67.01666667,118.86,0.007933333,0.0177,-1.5497
51.89,301.7233333,105.8566667,64.85333333,126.7833333,0.023533333,0.018633333,-1.560233333
53.61333333,272.9666667,171.9666667,64.79333333,120.6966667,0.009466667,0.009933333,-1.570266667
56.70333333,200.1,200.2133333,94.93,124.3766667,0.015066667,0.0076,-1.564533333
57.91,212.93,231.6733333,114.8933333,105.8233333,-0.001066667,0.0147,-1.5546
57.49333333,183.1633333,220.6533333,125.0433333,94.63666667,0.001166667,0.015,-1.560933333
60.07333333,274.39,243.0566667,124.4166667,74.12333333,-0.0109,0.010533333,-1.579633333
60.36333333,246.0266667,287.0666667,119.3366667,66.70333333,-0.014333333,-0.0014,-1.591933333
60.69,265.39,295.2733333,112.03,66.70666667,-0.026666667,-0.0039,-1.589033333
57.83666667,261.7633333,264.3033333,97.54,75.38,-0.0124,0.0081,-1.582566667
61.62333333,301.3733333,284.3033333,98.92666667,81.22,0.001433333,0.012466667,-1.5738
61.02333333,374.3333333,237.0866667,110.14,89.90666667,0.021,0.0148,-1.5654
64.49,374.5066667,197.8066667,109.35,89.62666667,0.005733333,0.004033333,-1.5585
58.25333333,310.7333333,161.2466667,113.3133333,93.41,-0.013866667,0.000833333,-1.561466667
58.39,241.8733333,186.81,115.7533333,92.69,-0.028766667,0.0011,-1.5643
54.26666667,172.9566667,203.8433333,111.2766667,91.54333333,-0.0231,0.0003,-1.562666667
55.26666667,166.8766667,186.08,90.20333333,95.33666667,-0.001,0.002,-1.556666667
52.04666667,167.95,169.7633333,75.04666667,104.3266667,0.0177,0.004033333,-1.553966667
52.09,171.9933333,242.8333333,91.17,112.23,0.0148,0.008533333,-1.556433333
51.99,176.0233333,246.2533333,88.16666667,109.54,0.006533333,0.008133333,-1.558533333
55.72333333,181.7033333,215.7466667,83.75666667,99.78,-0.007833333,0.006833333,-1.562533333
59.14666667,187.18,163.5133333,113.5166667,90.88666667,0.0003,0.004766667,-1.5703
59.66,190.4266667,137.0133333,148.43,85.81333333,-0.003,0.0035,-1.5796
60.5,193.03,148.1533333,165.1966667,83.91333333,0.005366667,0.004033333,-1.587366667
61.49333333,183.4733333,108.4166667,122.5966667,81.76666667,0.002966667,0.009666667,-1.590966667
64.21333333,173.32,115.1833333,100.4233333,81.88666667,0.0061,0.013233333,-1.5923
65.43666667,161.0766667,107.8166667,90.64666667,79.47333333,0.0043,0.014333333,-1.592766667
60.97666667,161.01,112.3433333,101.47,78.48333333,0.002266667,0.0095,-1.592733333
57.73666667,160.4966667,108.9,124.47,80.65333333,-0.0001,0.009833333,-1.5923
56.14666667,158.6733333,114.0533333,163.9866667,88.76333333,-0.001866667,0.0132,-1.5905
57.45,157.7933333,102.05,157.8233333,102.1066667,-0.003666667,0.018066667,-1.591133333
55.20333333,158.6733333,92.35333333,172.88,108.24,-0.003533333,0.021066667,-1.593
55.16666667,151.4766667,82.45666667,156.7533333,128.3866667,-0.000566667,0.023233333,-1.592066667
54.1,152.88,155.0266667,167.2466667,167.3066667,0.013,0.021366667,-1.592733333
56.35333333,147.6966667,207.38,117.9233333,183.68,0.019433333,0.015733333,-1.586533333
